County Name,Minority,Total,white,black,hispanic,american_indian,asian,pacific_Islander,other,two_or_more
Adams,2249,21658,19409,633,783,205,82,4,266,276
Ashland,2797,16459,13662,48,302,1791,59,4,56,537
Barron,2656,46732,44076,407,862,406,223,3,236,519
Bayfield,2148,15172,13024,46,158,1435,48,1,29,431
Brown,51577,265992,214415,5491,17985,6715,6724,104,9155,5403
Buffalo,571,13824,13253,37,237,38,28,0,122,109
Burnett,1488,15651,14163,81,194,718,52,3,67,373
Calumet,4474,50661,46187,246,1690,203,1031,16,705,583
Chippewa,3711,63215,59504,982,800,310,774,14,182,649
Clark,2644,35982,33338,80,1292,174,127,8,773,190
Columbia,3809,58277,54468,717,1444,277,301,29,441,600
Crawford,714,16794,16080,296,150,39,63,3,36,127
Dane,103367,516998,413631,25347,28925,1730,23035,166,12064,12100
Dodge,8987,92281,83294,2381,3522,385,472,41,1309,877
Door,1617,28456,26839,144,671,162,112,4,249,275
Douglas,3487,44653,41166,486,494,868,376,8,82,1173
Dunn,2938,44483,41545,220,626,168,1143,15,228,538
Eau Claire,8594,100540,91946,874,1804,471,3297,31,519,1598
Florence,154,4460,4306,10,37,31,13,1,14,48
Fond du Lac,10327,106001,95674,1305,4368,471,1148,21,1700,1314
Forest,1752,9442,7690,76,138,1256,13,11,32,226
Grant,2202,51857,49655,588,649,103,312,5,221,324
Green,2282,37875,35593,140,1033,65,198,11,490,345
Green Lake,1366,19794,18428,88,743,52,86,5,268,124
Iowa,896,24023,23127,87,336,36,129,5,102,201
Iron,161,5951,5790,3,35,36,18,0,13,56
Jackson,2710,20968,18258,400,519,1271,53,20,144,303
Jefferson,10609,89241,78632,681,5555,257,560,18,2479,1059
Juneau,2274,27351,25077,557,687,398,115,7,188,322
Kenosha,46602,186018,139416,11052,19592,814,2393,89,7880,4782
Kewaunee,1082,21037,19955,69,463,77,60,5,219,189
La Crosse,10839,116379,105540,1610,1741,493,4742,28,371,1854
Lafayette,1066,17358,16292,39,522,48,58,0,303,96
Langlade,1034,20301,19267,72,324,191,62,1,100,284
Lincoln,1154,29083,27929,157,340,100,124,10,131,292
Manitowoc,7605,84007,76402,442,2565,450,2050,10,1069,1019
Marathon,14609,137055,122446,841,2992,634,7146,32,1223,1741
Marinette,1712,42271,40559,108,522,238,218,9,176,441
Marquette,875,15795,14920,77,391,86,68,0,126,127
Menominee,3959,4410,451,19,178,3701,1,0,6,54
Milwaukee,499118,1073774,574656,253764,126039,6808,32422,363,51429,28293
Monroe,4394,46334,41940,512,1661,510,289,40,764,618
Oconto,1761,38179,36418,73,519,467,111,5,198,388
Oneida,1596,36383,34787,152,385,323,188,5,82,461
Outagamie,21816,183054,161238,1736,6359,2982,5229,65,2728,2717
Ozaukee,6341,88351,82010,1177,1956,208,1509,20,483,988
Pepin,204,7541,7337,21,72,19,13,1,35,43
Pierce,2028,41642,39614,232,623,151,301,7,201,513
Polk,2054,44861,42807,96,656,454,159,7,226,456
Portage,5891,71872,65981,383,1853,265,1969,14,546,861
Price,562,14312,13750,39,153,54,62,64,42,148
Racine,62223,217954,155731,21767,22546,781,2121,53,10046,4909
Richland,841,18381,17540,82,360,46,95,4,119,135
Rock,31942,172455,140513,7978,12124,516,1630,39,5948,3707
Rusk,530,14928,14398,61,173,74,41,1,37,143
St. Croix,5123,86037,80914,552,1692,313,900,23,483,1160
Sauk,6063,64651,58588,357,2675,769,337,13,1156,756
Sawyer,3702,16825,13123,77,268,2757,49,0,42,509
Shawano,5600,42854,37254,143,905,3172,180,13,366,821
Sheboygan,17975,121836,103861,1684,6329,444,5310,35,2297,1876
Taylor,757,21005,20248,58,316,43,56,8,128,148
Trempealeau,3253,30483,27230,62,1667,63,123,4,1086,248
Vernon,1082,30167,29085,109,394,61,92,7,145,274
Vilas,3040,21698,18658,35,268,2370,61,1,45,260
Walworth,18871,112806,93935,980,10578,308,845,43,4604,1513
Washburn,776,16119,15343,36,208,186,63,2,49,232
Washington,8955,135272,126317,1155,3385,401,1415,30,1052,1517
Waukesha,42051,406014,363963,4914,16123,1066,10721,131,4041,5055
Waupaca,2801,53717,50916,154,1307,258,194,6,425,457
Waushara,2813,25825,23012,454,1329,131,94,14,509,282
Winnebago,18333,172778,154445,2975,5784,1036,3822,58,2188,2470
Wood,5381,76429,71048,393,1680,587,1319,9,593,800
